Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	perciformes	sparidae	acanthopagrus	schlegelii_schlegelii	acanthopagrus_schlegelii_schlegelii	6531	50		IM	VMob	Both	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	plesiopidae	acanthoplesiops	echinatus	acanthoplesiops_echinatus	58053	4	3	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	plesiopidae	acanthoplesiops	hiatti	acanthoplesiops_hiatti	17444	2,4	10	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	plesiopidae	acanthoplesiops	indicus	acanthoplesiops_indicus	8004	5	9	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	plesiopidae	acanthoplesiops	naka	acanthoplesiops_naka	65019	0,99	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	ostraciidae	acanthostracion	guineensis	acanthostracion_guineensis	23363	18	2	IS	Mob	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	ostraciidae	acanthostracion	notacanthus	acanthostracion_notacanthus	23370	50	4	IS	Mob	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	ostraciidae	acanthostracion	polygonius	acanthostracion_polygonius	4287	50	28	IS	Mob	Day	Low	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	ostraciidae	acanthostracion	quadricornis	acanthostracion_quadricornis	92	55	28	IM	Mob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	achilles	acanthurus_achilles	4306	24	34	HD	Mob	Day	Bottom	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	albipectoralis	acanthurus_albipectoralis	13770	33	13	PK	VMob	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	acanthuridae	acanthurus	auranticavus	acanthurus_auranticavus	4748	45	25	HD	Mob	Day	Bottom	LargeG
