Sitename	Sitecode	Realm	TropicalSubtropicalCold	Code_Region	Code_Province	Code_SubProvince	Region	Province	SubProvince	Latitude	Longitude	Sstmean	Sstmin	Sstmax	Refugia_isolation	Sst_Past	Meansurface	Chla_Mean	Distance_BC	Isol_habitat	Geology	Surface_area_present	Area_Iso_50mt	Shallow_Reef_area_50mt	Area_Iso_200mt	Shallow_Reef_area_200mt	Surface_area_past	Area_sub_past_50mt	Area_sub_past_200mt	Age_Ma
Rotuma_island	rot	Pacific	T	CP	CP	WPO	Central_Pac	Central_Pac	West_Polyn	-12,50145	177,062472	29	28	30	168,0359551	28,136082	22	0,025629	6153	300,5267311	oceanic	47,33286	153,5389	106,206	202,8965	155,5336	182,7337	14,07187	47,46651	1,5
Sala_y_Gomez	sal	Pacific	T	CP	EP	EP	Central_Pac	Easter_Isl	Easter_Isl	-26,471633	-105,362772	22	20	25	700	22,58168	0	0,02	14300	2146,403256	oceanic	0,1631305	4,23674	4,073609	53,34754	53,18441	36,78537	11,36238	29,46552	1,7
Samoa	sam	Pacific	T	CP	CP	WPO	Central_Pac	Central_Pac	West_Polyn	-13,877556	-171,720956	29	27,66171	29,93258	166,4724769	28,34218	36,428571	0,032226	7680	321,6684745	oceanic	2960,114	3563,922	603,8084	4636,631	1676,518	4240,15	265,3055	684,7714	23
Sao_Tome	sat	Atlantic	T	EA	EA	EA	East_Atl	East_Atl	East_Atl	0,190507	6,61485	27	25	28,75147	319,2474564	21,40257	2,285714	0,056884	7730	257,35	oceanic	953,1159	1226,713	263,5973	1406,568	443,4525	1336,649	47,33025	158,7713	31
Society_islands	soi	Pacific	T	CP	PO	NPO	Central_Pac	Polynesia	South_Polyn	-16,995883	-151,208479	28	26	29	239,4287581	28,18167	2,142857	0,023795	9950	360,3306027	oceanic	1538,158	2179,942	641,7838	2484,214	946,0557	2405,943	53,20678	195,4017	4,5
Socotra	soc	Indian	T	WI	NWI	NWI	West_Indian	NW_Indian	NW_Indian	12,390342	53,949237	26,486065	23,017635	29,40814	142,2223068	26,49529	0	0,096284	6387	346,1917295	oceanic	3927,956	6097,524	2169,568	9357,019	5429,063	7986,614	885,071	2705,125	12
Solomon_islands	sol	Pacific	T	CIP	CIP	PNG	Central_Indo_Pac	Central_Indo_Pac	Papua_NG	-8,206913	158,729101	29,86021	29	30	0	27,26588	64	0,042222	4393	290,444445	oceanic	37113,24	57104,78	19991,54	73840,32	36727,08	68149	3810,011	12064,54	45
St_Helena	shel	Atlantic	S	WA	AI	AI	West_Atl	Atl_Isl	Atl_Isl	-15,968652	-5,709634	22,103267	20,103267	25	700	19,652453	0	0,038543	7416	1885,094	oceanic	128,3399	90,88	45,17621	264,3	135,9601	272,6073	53,56571	136,5067	14
St_Pauls_Rocks	spa	Atlantic	T	WA	TSWA	BRAI	West_Atl	Brazil	Brazil_Isl	0,863573	-29,381577	27	26	28	667,693538	24,46956	0	0,039525	4405	1485,305891	oceanic	0,01422253	1,1	1,08577747	3,5	3,48577747	272,6073	53,56571	136,5067	15,5
Tonga	ton	Pacific	T	CP	SWP	MELA	Central_Pac	SW_Pac	Melanesia	-20,034508	-174,622354	26	24	28	151,7267834	25,88714	0	0,059467	7420	360,0993306	oceanic	748	5632,906	4884,906	8695,885	7947,885	7287,103	871,0077	3686,565	6
Trindade	tri	Atlantic	T	WA	TSWA	BRAI	West_Atl	Brazil	Brazil_Isl	-20,545265	-29,19413	25	23	27,79616	458,7471332	24,55419	0	0,023056	6042	1531,890329	oceanic	10,22816	31,03103	20,80287	87,24501	77,01685	60,9244	16,92444	49,16041	3,7
Tuamotu_islands	tua	Pacific	T	CP	PO	NPO	Central_Pac	Polynesia	South_Polyn	-16,289641	-144,571515	28	26	29	151,3051813	28,25883	0	0,024817	10560	271,891186	oceanic	3888,842	12512,46	8624,621	17049,54	13160,69	15210,86	1196,988	3943,822	41,8
Tuvalu_Gilbert	tuv	Pacific	T	CP	CP	WPO	Central_Pac	Central_Pac	West_Polyn	-7,895888	178,417925	29,9013	29	30	1,6660558	27,85618	39	0,030522	5950	376,5852664	oceanic	9,310628	46,05982	36,74919	58,15863	48,848	52,42753	4,669797	14,00909	3,9
Vanuatu	van	Pacific	T	CP	SWP	MELA	Central_Pac	SW_Pac	Melanesia	-16,275453	167,949552	27,963348	26	29,750642	31,27821459	27,60447	0,857143	0,031809	5634	323,2106114	oceanic	12770,54	16624,11	3853,567	21050,24	8280,696	18867,25	1386,975	5585,755	11
Wake	wak	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	19,319335	166,629521	27	26	29	73,82916804	27,82468	0	0,033562	4568	908,7406372	oceanic	19,6364	17,46251	2,173883	24,16313	4,526734	21,72657	2,030488	6,091442	76,26
Wallis_island	wal	Pacific	T	CP	CP	WPO	Central_Pac	Central_Pac	West_Polyn	-13,285958	-176,181132	29	28	29,83765	171,6795314	28,27667	62,428571	0,052136	7180	266,788386	oceanic	80,89348	222,1486	141,2551	276,7938	195,9003	248,9481	18,00617	70,97645	0,5
Yap	yap	Pacific	T	CP	CP	MICR	Central_Pac	Central_Pac	Micronesia	9,508304	138,118898	29	27,859759	29,798993	8,98246193	28,09482	15,714286	0,027898	1732	426,7740528	oceanic	140,9391	204,5251	63,58603	316,548	175,6089	269,6601	30,12754	10,8166	10,9
